occurrence_id,classification,latitude,longitude,city,state,country,date,time,aircraft_type,aircraft_manufacturer,aircraft_model,aircraft_damage_level,total_aircraft_fatalities,type_category
45862,INCIDENTE,-21.13638888888,-47.77666666666,RIBEIRÃO PRETO,SP,BRASIL,18/05/2012,17:56:00,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,NENHUM,0,FOGO EM VOO
45861,INCIDENTE,,,PARNAMIRIM,RN,BRASIL,19/05/2012,10:40:00,AVIÃO,AIRBUS INDUSTRIE,A320-214,LEVE,0,PERDA DE COMPONENTE EM VOO
45860,INCIDENTE,-9.868333333333,-67.89805555555,RIO BRANCO,AC,BRASIL,24/05/2012,03:10:00,AVIÃO,EMBRAER,ERJ 170-200 LR,LEVE,0,OUTROS
45859,INCIDENTE GRAVE,,,AMARGOSA,BA,BRASIL,19/05/2012,13:40:00,AVIÃO,CESSNA AIRCRAFT,310R,SUBSTANCIAL,0,COM TREM DE POUSO
45857,ACIDENTE,-23.5066666,-46.6338888,SÃO PAULO,SP,BRASIL,18/05/2012,10:17:00,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO
45856,INCIDENTE GRAVE,-1.5922222222,-60.2094444444,PRESIDENTE FIGUEIREDO,AM,BRASIL,16/05/2012,19:30:00,AVIÃO,BEECH AIRCRAFT,95-A55,SUBSTANCIAL,0,COM HÉLICE
45854,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,17/05/2012,19:40:00,AVIÃO,AEROMOT,AMT-600,LEVE,0,COM TREM DE POUSO
45853,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,10/05/2012,14:50:00,HELICÓPTERO,MD HELICOPTERS,600N,NENHUM,0,COM ROTOR
45850,INCIDENTE,-20.1825,-40.30722222222,SERRA,ES,BRASIL,02/05/2012,19:09:00,ULTRALEVE,MARCOS AURELIO DA SILVA,PARADISE P-1,NENHUM,0,OUTROS
45849,INCIDENTE,-20.816111,-49.404722,SÃO JOSÉ DO RIO PRETO,SP,BRASIL,16/05/2012,11:00:00,AVIÃO,AERO BOERO,AB-115,Unknown,0,PERDA DE CONTROLE NO SOLO
45845,INCIDENTE,-20.25805555555,-40.28638888888,VITÓRIA,ES,BRASIL,02/05/2012,19:50:00,AVIÃO,BOEING COMPANY,737-75B,NENHUM,0,SOPRO DE REATOR
45844,INCIDENTE,-19.62444444444,-43.97194444444,CONFINS,MG,BRASIL,27/04/2012,01:40:00,AVIÃO,AIRBUS INDUSTRIE,A320-232,NENHUM,0,FUMAÇA NA CABINE
45843,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,01/05/2012,23:30:00,AVIÃO,AIRBUS INDUSTRIE,A320-231,NENHUM,0,TRÁFEGO AÉREO
45842,INCIDENTE,-0.050833333333,-51.07027777777,MACAPÁ,AP,BRASIL,28/04/2012,14:23:00,AVIÃO,CESSNA AIRCRAFT,208B,LEVE,0,COLISÃO COM AERONAVE NO SOLO
45841,INCIDENTE,-9.868333333333,-67.89805555555,RIO BRANCO,AC,BRASIL,07/05/2012,23:42:00,AVIÃO,EMBRAER,EMB-810C,NENHUM,0,OUTROS
45835,INCIDENTE GRAVE,-26.832778,-49.093611,BLUMENAU,SC,BRASIL,23/04/2012,13:50:00,AVIÃO,AERO BOERO,AB-115,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
45834,INCIDENTE,-29.99472222222,-51.17111111111,PORTO ALEGRE,RS,BRASIL,23/04/2012,21:35:00,AVIÃO,EMBRAER,EMB-810C,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA
45833,INCIDENTE GRAVE,-22.9627777778,-42.835,MARICÁ,RJ,BRASIL,03/05/2012,11:20:00,AVIÃO,CESSNA AIRCRAFT,152,LEVE,0,FALHA DO MOTOR EM VOO
45831,INCIDENTE GRAVE,-23.47638888888,-52.01777777777,MARINGÁ,PR,BRASIL,03/05/2012,12:00:00,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
